date,new_downloads,total_downloads,new_reported,total_reported,source
2020-12-21,117700,117700,23,23,fhi:web
2020-12-22,41000,158700,18,41,fhi:web
2020-12-23,15600,174300,12,53,fhi:web
2020-12-24,9500,183800,19,72,fhi:web
2020-12-25,10900,194700,10,82,fhi:web
2020-12-26,12500,207200,8,90,fhi:web
2020-12-27,10200,217400,14,104,fhi:web
2020-12-28,13800,231200,21,125,fhi:web
2020-12-29,10500,241700,22,147,fhi:web
2020-12-30,7300,249000,26,173,fhi:web
2020-12-31,6800,255800,13,186,fhi:web
2021-01-01,3200,259000,17,203,fhi:web
2021-01-02,3900,262900,11,214,fhi:web
2021-01-03,82100,345000,36,250,fhi:web
2021-01-04,21300,366300,17,267,fhi:web
2021-01-05,8300,374600,25,292,fhi:web
2021-01-06,27400,402000,35,327,fhi:web
2021-01-07,6000,408000,31,358,fhi:web
2021-01-08,4600,412600,21,379,fhi:web
2021-01-09,3300,415900,15,394,fhi:web
2021-01-10,3700,419600,19,413,fhi:web
2021-01-11,3400,423000,8,421,fhi:web
2021-01-12,2200,425200,18,439,fhi:web
2021-01-13,10100,435300,29,468,fhi:web
2021-01-14,2700,438000,17,485,fhi:web
2021-01-15,1800,439800,15,500,fhi:web
2021-01-16,1300,441100,8,508,fhi:web
2021-01-17,19700,460800,10,518,fhi:web
2021-01-18,4400,465200,5,523,fhi:web
2021-01-19,3000,468200,7,530,fhi:web
2021-01-20,3600,471800,10,540,fhi:web
2021-01-21,2500,474300,16,556,fhi:web
2021-01-22,3200,477500,11,567,fhi:web
2021-01-23,10600,488100,8,575,fhi:web
2021-01-24,55300,543400,27,602,fhi:web
2021-01-25,18600,562000,13,615,fhi:web
2021-01-26,96300,658300,40,655,fhi:web
2021-01-27,17400,675700,19,674,fhi:web
2021-01-28,6700,682400,20,694,fhi:web
2021-01-29,4200,686600,8,702,fhi:web
2021-01-30,3800,690400,19,721,fhi:web
2021-01-31,2000,691400,7,728,fhi:web
2021-02-01,700,692100,13,741,fhi:web
2021-02-02,2500,694600,14,744,fhi:web
2021-02-03,58100,752700,30,785,fhi:web
2021-02-04,54600,807300,33,818,fhi:web
2021-02-05,26200,833500,28,846,fhi:web
2021-02-06,3000,836500,14,860,fhi:web
2021-02-07,9600,846100,2,862,fhi:web
2021-02-08,4800,850900,22,884,fhi:web
2021-02-09,2100,853000,10,894,fhi:web
2021-02-10,1700,854700,10,904,fhi:web
